,Unnamed: 0,unix,low,high,open,close,volume,date,vol_fiat
0,,1623801600,1.5644,1.629,1.629,1.5852,14533667.2,2021-06-16,23038769.24544
1,,1623715200,1.5333,1.71,1.5498,1.6292,99955985.2,2021-06-15,162848291.08784
2,,1623628800,1.4155,1.6011,1.4687,1.5492,88329820.4,2021-06-14,136840557.76368
3,,1623542400,1.3111,1.495,1.3383,1.4671,84709171.4,2021-06-13,124276825.36094
4,,1623456000,1.1594,1.3987,1.2508,1.3389,104139604.6,2021-06-12,139432516.59894
5,,1623369600,1.2295,1.384,1.3618,1.2508,81192435.6,2021-06-11,101555498.44847998
6,,1623283200,1.3343,1.4973,1.4918,1.3628,68399801.3,2021-06-10,93215249.21164
7,,1623196800,1.3535,1.536,1.4817,1.4907,130978657.7,2021-06-09,195249885.03339
8,,1623110400,1.266,1.5238,1.4841,1.4817,217966247.4,2021-06-08,322960588.77258
9,,1623024000,1.46,1.7265,1.5813,1.4857,121452243.3,2021-06-07,180441597.87081
10,,1622937600,1.5121,1.59,1.5293,1.5813,59928213.5,2021-06-06,94764484.00755
11,,1622851200,1.4517,1.6958,1.6321,1.5288,86882658.1,2021-06-05,132826207.70328
12,0.0,1622764800,1.595,1.8249,1.8236,1.6677,37991214.0,2021-06-04,63357947.5878
13,1.0,1622678400,1.7609,1.88,1.7992,1.8237,68525458.4,2021-06-03,124969878.48408002
14,2.0,1622592000,1.75,1.89,1.8258,1.8,87008594.1,2021-06-02,156615469.38
15,3.0,1622505600,1.765,1.9895,1.869,1.8256,134574353.8,2021-06-01,245678940.29728
16,4.0,1622419200,1.7461,1.9364,1.8658,1.8689,197310325.2,2021-05-31,368753266.76628
17,5.0,1622332800,1.552,1.984,1.6977,1.8659,266589572.9,2021-05-30,497429484.07411
18,6.0,1622246400,1.514,1.9118,1.818,1.698,274240464.8,2021-05-29,465660309.2304
19,7.0,1622160000,1.665,2.0611,2.0392,1.8182,376674457.8,2021-05-28,684869499.17196
20,8.0,1622073600,1.8552,2.2657,2.2113,2.0386,305993077.0,2021-05-27,623797486.7722001
21,9.0,1621987200,1.8315,2.4399,1.9382,2.2112,500107090.0,2021-05-26,1105836797.408
22,10.0,1621900800,1.513,1.95,1.7452,1.9381,432762206.4,2021-05-25,838736432.2238399
23,11.0,1621814400,1.0683,1.99,1.0753,1.7457,679554174.2,2021-05-24,1186297721.9009402
24,12.0,1621728000,0.7441,1.2615,1.193,1.0754,447319001.1,2021-05-23,481046853.78294
25,13.0,1621641600,1.1301,1.6227,1.4862,1.1943,226837247.5,2021-05-22,270911724.68925
26,14.0,1621555200,1.197,1.9547,1.836,1.4863,313332949.7,2021-05-21,465706763.13911
27,15.0,1621468800,1.32,2.22,1.6248,1.8351,375775474.3,2021-05-20,689585572.88793
28,16.0,1621382400,1.04,2.6433,2.4444,1.6231,722861880.2,2021-05-19,1173277117.75262
