,Unnamed: 0,unix,low,high,open,close,volume,date,vol_fiat
0,,1623801600,0.695,0.726,0.709,0.703,557417.14,2021-06-16,391864.24942
1,,1623715200,0.691,0.739,0.711,0.711,5304821.01,2021-06-15,3771727.73811
2,,1623628800,0.675,0.717,0.694,0.711,5331022.15,2021-06-14,3790356.74865
3,,1623542400,0.64,0.699,0.658,0.694,4233871.67,2021-06-13,2938306.93898
4,,1623456000,0.627,0.695,0.691,0.658,6715972.96,2021-06-12,4419110.20768
5,,1623369600,0.673,0.793,0.698,0.695,11427531.63,2021-06-11,7942134.48285
6,,1623283200,0.677,0.742,0.739,0.697,4676504.68,2021-06-10,3259523.76196
7,,1623196800,0.664,0.742,0.713,0.737,6204878.36,2021-06-09,4572995.35132
8,,1623110400,0.629,0.758,0.742,0.711,9243816.37,2021-06-08,6572353.439069999
9,,1623024000,0.731,0.837,0.822,0.741,5291476.82,2021-06-07,3920984.32362
10,,1622937600,0.802,0.831,0.815,0.821,2953457.03,2021-06-06,2424788.22163
11,,1622851200,0.788,0.889,0.816,0.816,6758218.42,2021-06-05,5514706.230719999
12,0.0,1622764800,0.829,0.899,0.889,0.84,2565758.18,2021-06-04,2155236.8712
13,1.0,1622678400,0.84,0.905,0.856,0.888,6767396.75,2021-06-03,6009448.314
14,2.0,1622592000,0.809,0.876,0.83,0.858,6841925.16,2021-06-02,5870371.78728
15,3.0,1622505600,0.799,0.873,0.846,0.83,5258306.39,2021-06-01,4364394.303699999
16,4.0,1622419200,0.74,0.858,0.78,0.847,6480782.85,2021-05-31,5489223.073949999
17,5.0,1622332800,0.693,0.839,0.747,0.78,7581572.9,2021-05-30,5913626.862000001
18,6.0,1622246400,0.696,0.843,0.814,0.747,8533807.97,2021-05-29,6374754.553590001
19,7.0,1622160000,0.77,0.945,0.899,0.813,12653228.69,2021-05-28,10287074.92497
20,8.0,1622073600,0.856,1.019,1.011,0.9,16676188.82,2021-05-27,15008569.938
21,9.0,1621987200,0.762,1.015,0.787,1.01,27509567.51,2021-05-26,27784663.1851
22,10.0,1621900800,0.717,0.85,0.781,0.785,12932121.74,2021-05-25,10151715.5659
23,11.0,1621814400,0.589,0.785,0.623,0.779,18055757.08,2021-05-24,14065434.76532
24,12.0,1621728000,0.484,0.803,0.759,0.624,21835715.21,2021-05-23,13625486.29104
25,13.0,1621641600,0.696,0.828,0.82,0.759,9492933.69,2021-05-22,7205136.670709999
26,14.0,1621555200,0.697,1.011,0.958,0.82,17593812.59,2021-05-21,14426926.3238
27,15.0,1621468800,0.683,1.031,0.771,0.958,18947714.15,2021-05-20,18151910.1557
28,16.0,1621382400,0.487,1.168,1.126,0.774,40831162.14,2021-05-19,31603319.49636
29,17.0,1621296000,1.049,1.266,1.061,1.127,18057589.19,2021-05-18,20350903.01713
30,18.0,1621209600,1.011,1.183,1.183,1.06,13500205.03,2021-05-17,14310217.3318
31,19.0,1621123200,1.1,1.289,1.204,1.183,8403310.33,2021-05-16,9941116.12039
32,20.0,1621036800,1.196,1.31,1.295,1.203,8956817.24,2021-05-15,10775051.13972
33,21.0,1620950400,1.241,1.336,1.251,1.292,6372836.94,2021-05-14,8233705.326480001
34,22.0,1620864000,1.15,1.35,1.221,1.253,11266067.39,2021-05-13,14116382.43967
35,23.0,1620777600,1.202,1.452,1.429,1.221,10027704.49,2021-05-12,12243827.18229
36,24.0,1620691200,1.301,1.435,1.327,1.429,8254449.5,2021-05-11,11795608.3355
37,25.0,1620604800,1.229,1.514,1.492,1.33,14195062.35,2021-05-10,18879432.9255
38,26.0,1620518400,1.357,1.522,1.445,1.49,10374224.38,2021-05-09,15457594.3262
39,27.0,1620432000,1.415,1.515,1.469,1.447,6898720.64,2021-05-08,9982448.76608
40,28.0,1620345600,1.408,1.61,1.571,1.465,19523384.38,2021-05-07,28601758.1167
41,29.0,1620259200,1.347,1.579,1.42,1.571,17831664.13,2021-05-06,28013544.34823
42,30.0,1620172800,1.259,1.427,1.266,1.423,12574915.3,2021-05-05,17894104.4719
43,31.0,1620086400,1.239,1.406,1.406,1.266,13089724.15,2021-05-04,16571590.7739
44,32.0,1620000000,1.39,1.485,1.411,1.406,8100561.66,2021-05-03,11389389.69396
45,33.0,1619913600,1.382,1.466,1.463,1.411,4274017.58,2021-05-02,6030638.80538
46,34.0,1619827200,1.411,1.502,1.491,1.463,6759270.94,2021-05-01,9888813.38522
47,35.0,1619740800,1.398,1.507,1.46,1.488,8464161.25,2021-04-30,12594671.94
48,36.0,1619654400,1.365,1.557,1.551,1.46,14605494.48,2021-04-29,21324021.9408
49,37.0,1619568000,1.281,1.569,1.312,1.551,20475966.31,2021-04-28,31758223.74681
50,38.0,1619481600,1.209,1.38,1.229,1.312,9425159.72,2021-04-27,12365809.552640002
51,39.0,1619395200,1.084,1.254,1.095,1.229,9540180.9,2021-04-26,11724882.3261
52,40.0,1619308800,1.026,1.189,1.108,1.098,8085657.3,2021-04-25,8878051.715400001
53,41.0,1619222400,1.096,1.241,1.241,1.106,5786115.54,2021-04-24,6399443.78724
54,42.0,1619136000,0.956,1.269,1.246,1.24,18419066.67,2021-04-23,22839642.6708
55,43.0,1619049600,1.159,1.41,1.332,1.248,13517667.03,2021-04-22,16870048.45344
56,44.0,1618963200,1.3,1.465,1.407,1.33,11443716.8,2021-04-21,15220143.344000002
57,45.0,1618876800,1.35,1.5,1.416,1.402,7602922.14,2021-04-20,10659296.840279998
